payment_id,order_id,payment_method,amount,payment_date,promotion_id,promotion_name,discount_percentage,start_date,end_date
1.0,1,Bank Transfer,392.64,2023-01-01,,,,,
2.0,2,Credit Card,270.0,2023-01-02,,,,,
3.0,3,Credit Card,167.61,2023-01-03,,,,,
4.0,4,Bank Transfer,113.76,2023-01-04,,,,,
5.0,5,Bank Transfer,136.95,2023-01-05,,,,,
6.0,6,Credit Card,90.84,2023-01-06,,,,,
7.0,7,Credit Card,394.14,2023-01-07,,,,,
8.0,8,Bank Transfer,107.04,2023-01-08,,,,,
9.0,9,Bank Transfer,54.92999999999999,2023-01-09,,,,,
10.0,10,Bank Transfer,575.84,2023-01-10,,,,,
11.0,11,Credit Card,38.52,2023-01-11,,,,,
12.0,12,PayPal,105.07,2023-01-12,,,,,
13.0,13,Bank Transfer,334.5,2023-01-13,,,,,
14.0,14,PayPal,90.64,2023-01-14,,,,,
15.0,15,PayPal,14.55,2023-01-15,,,,,
16.0,16,Credit Card,392.28,2023-01-16,,,,,
17.0,17,Credit Card,135.0,2023-01-17,,,,,
18.0,18,PayPal,440.72,2023-01-18,,,,,
19.0,19,Credit Card,418.25,2023-01-19,,,,,
20.0,20,Bank Transfer,311.12,2023-01-20,,,,,
21.0,21,Bank Transfer,815.76,2023-01-21,,,,,
22.0,22,PayPal,660.0600000000001,2023-01-22,,,,,
23.0,23,PayPal,490.16,2023-01-23,,,,,
24.0,24,Bank Transfer,78.05,2023-01-24,,,,,
25.0,25,Bank Transfer,314.91,2023-01-25,,,,,
26.0,26,PayPal,122.36,2023-01-26,,,,,
27.0,27,Bank Transfer,103.5,2023-01-27,,,,,
28.0,28,Credit Card,790.5600000000001,2023-01-28,,,,,
29.0,29,Credit Card,202.4,2023-01-29,,,,,
30.0,30,PayPal,158.97,2023-01-30,,,,,
31.0,31,Credit Card,121.74,2023-01-31,,,,,
32.0,32,PayPal,566.32,2023-02-01,,,,,
33.0,33,Credit Card,486.05,2023-02-02,,,,,
34.0,34,Credit Card,43.650000000000006,2023-02-03,,,,,
