order_id,promotion_id,promotion_name,discount_percentage,start_date,end_date,return_id,return_reason,return_date
34,1,Promo 1,23,2023-01-01,2023-01-08,34,No Longer Needed,2023-02-07
36,2,Promo 2,24,2023-01-08,2023-01-15,36,Defective,2023-02-09
72,3,Promo 3,11,2023-01-15,2023-01-22,72,No Longer Needed,2023-03-17
86,4,Promo 4,17,2023-01-22,2023-01-29,86,Wrong Item,2023-03-31
44,5,Promo 5,8,2023-01-29,2023-02-05,44,Wrong Item,2023-02-17
97,6,Promo 6,19,2023-02-05,2023-02-12,97,Defective,2023-04-11
85,7,Promo 7,24,2023-02-12,2023-02-19,85,No Longer Needed,2023-03-30
112,8,Promo 8,29,2023-02-19,2023-02-26,112,Wrong Item,2023-04-26
79,9,Promo 9,22,2023-02-26,2023-03-05,79,Defective,2023-03-24
101,10,Promo 10,8,2023-03-05,2023-03-12,101,Defective,2023-04-15
47,11,Promo 11,8,2023-03-12,2023-03-19,47,Defective,2023-02-20
105,12,Promo 12,6,2023-03-19,2023-03-26,105,No Longer Needed,2023-04-19
3,13,Promo 13,26,2023-03-26,2023-04-02,3,Wrong Item,2023-01-07
20,14,Promo 14,24,2023-04-02,2023-04-09,20,Wrong Item,2023-01-24
25,15,Promo 15,27,2023-04-09,2023-04-16,25,Wrong Item,2023-01-29
2,16,Promo 16,9,2023-04-16,2023-04-23,2,No Longer Needed,2023-01-06
37,17,Promo 17,29,2023-04-23,2023-04-30,37,Defective,2023-02-10
60,18,Promo 18,26,2023-04-30,2023-05-07,60,No Longer Needed,2023-03-05
70,19,Promo 19,12,2023-05-07,2023-05-14,70,Wrong Item,2023-03-15
93,20,Promo 20,15,2023-05-14,2023-05-21,93,No Longer Needed,2023-04-07
57,21,Promo 21,15,2023-05-21,2023-05-28,57,Wrong Item,2023-03-02
19,22,Promo 22,22,2023-05-28,2023-06-04,19,No Longer Needed,2023-01-23
104,23,Promo 23,29,2023-06-04,2023-06-11,104,No Longer Needed,2023-04-18
59,24,Promo 24,23,2023-06-11,2023-06-18,59,Wrong Item,2023-03-04
10,25,Promo 25,21,2023-06-18,2023-06-25,10,Wrong Item,2023-01-14
77,26,Promo 26,5,2023-06-25,2023-07-02,77,Wrong Item,2023-03-22
96,27,Promo 27,9,2023-07-02,2023-07-09,96,No Longer Needed,2023-04-10
6,28,Promo 28,7,2023-07-09,2023-07-16,6,Defective,2023-01-10
24,29,Promo 29,18,2023-07-16,2023-07-23,24,No Longer Needed,2023-01-28
26,30,Promo 30,6,2023-07-23,2023-07-30,26,Defective,2023-01-30
95,31,Promo 31,7,2023-07-30,2023-08-06,95,Wrong Item,2023-04-09
83,32,Promo 32,7,2023-08-06,2023-08-13,83,Wrong Item,2023-03-28
84,33,Promo 33,24,2023-08-13,2023-08-20,84,Defective,2023-03-29
14,34,Promo 34,25,2023-08-20,2023-08-27,14,Defective,2023-01-18
46,35,Promo 35,17,2023-08-27,2023-09-03,46,No Longer Needed,2023-02-19
40,36,Promo 36,12,2023-09-03,2023-09-10,40,Wrong Item,2023-02-13
1,37,Promo 37,26,2023-09-10,2023-09-17,1,Wrong Item,2023-01-05
51,38,Promo 38,18,2023-09-17,2023-09-24,51,Wrong Item,2023-02-24
12,39,Promo 39,22,2023-09-24,2023-10-01,12,Wrong Item,2023-01-16
110,40,Promo 40,24,2023-10-01,2023-10-08,110,Defective,2023-04-24
64,41,Promo 41,17,2023-10-08,2023-10-15,64,Wrong Item,2023-03-09
13,42,Promo 42,22,2023-10-15,2023-10-22,13,No Longer Needed,2023-01-17
82,43,Promo 43,5,2023-10-22,2023-10-29,82,Defective,2023-03-27
118,44,Promo 44,6,2023-10-29,2023-11-05,118,Defective,2023-05-02
17,45,Promo 45,9,2023-11-05,2023-11-12,17,Defective,2023-01-21
120,46,Promo 46,15,2023-11-12,2023-11-19,120,Wrong Item,2023-05-04
63,47,Promo 47,15,2023-11-19,2023-11-26,63,Defective,2023-03-08
99,48,Promo 48,5,2023-11-26,2023-12-03,99,Wrong Item,2023-04-13
53,49,Promo 49,7,2023-12-03,2023-12-10,53,Wrong Item,2023-02-26
29,50,Promo 50,6,2023-12-10,2023-12-17,29,No Longer Needed,2023-02-02
115,51,Promo 51,18,2023-12-17,2023-12-24,115,No Longer Needed,2023-04-29
9,52,Promo 52,24,2023-12-24,2023-12-31,9,Wrong Item,2023-01-13
32,53,Promo 53,20,2023-12-31,2024-01-07,32,Defective,2023-02-05
106,54,Promo 54,22,2024-01-07,2024-01-14,106,No Longer Needed,2023-04-20
15,55,Promo 55,9,2024-01-14,2024-01-21,15,Defective,2023-01-19
117,56,Promo 56,12,2024-01-21,2024-01-28,117,Defective,2023-05-01
94,57,Promo 57,26,2024-01-28,2024-02-04,94,No Longer Needed,2023-04-08
66,58,Promo 58,11,2024-02-04,2024-02-11,66,Defective,2023-03-11
38,59,Promo 59,14,2024-02-11,2024-02-18,38,Wrong Item,2023-02-11
