payment_id,order_id,payment_method,amount,payment_date,promotion_id,promotion_name,discount_percentage,start_date,end_date
1,1,Bank Transfer,392.64,2023-01-01,37.0,Promo 37,26.0,2023-09-10,2023-09-17
2,2,Credit Card,270.0,2023-01-02,16.0,Promo 16,9.0,2023-04-16,2023-04-23
3,3,Credit Card,167.61,2023-01-03,13.0,Promo 13,26.0,2023-03-26,2023-04-02
4,4,Bank Transfer,113.76,2023-01-04,89.0,Promo 89,24.0,2024-09-08,2024-09-15
5,5,Bank Transfer,136.95,2023-01-05,67.0,Promo 67,8.0,2024-04-07,2024-04-14
6,6,Credit Card,90.84,2023-01-06,28.0,Promo 28,7.0,2023-07-09,2023-07-16
7,7,Credit Card,394.14,2023-01-07,,,,,
8,8,Bank Transfer,107.04,2023-01-08,82.0,Promo 82,15.0,2024-07-21,2024-07-28
9,9,Bank Transfer,54.92999999999999,2023-01-09,52.0,Promo 52,24.0,2023-12-24,2023-12-31
10,10,Bank Transfer,575.84,2023-01-10,25.0,Promo 25,21.0,2023-06-18,2023-06-25
11,11,Credit Card,38.52,2023-01-11,92.0,Promo 92,8.0,2024-09-29,2024-10-06
12,12,PayPal,105.07,2023-01-12,39.0,Promo 39,22.0,2023-09-24,2023-10-01
13,13,Bank Transfer,334.5,2023-01-13,42.0,Promo 42,22.0,2023-10-15,2023-10-22
14,14,PayPal,90.64,2023-01-14,34.0,Promo 34,25.0,2023-08-20,2023-08-27
15,15,PayPal,14.55,2023-01-15,55.0,Promo 55,9.0,2024-01-14,2024-01-21
16,16,Credit Card,392.28,2023-01-16,74.0,Promo 74,18.0,2024-05-26,2024-06-02
17,17,Credit Card,135.0,2023-01-17,45.0,Promo 45,9.0,2023-11-05,2023-11-12
18,18,PayPal,440.72,2023-01-18,,,,,
19,19,Credit Card,418.25,2023-01-19,22.0,Promo 22,22.0,2023-05-28,2023-06-04
20,20,Bank Transfer,311.12,2023-01-20,14.0,Promo 14,24.0,2023-04-02,2023-04-09
21,21,Bank Transfer,815.76,2023-01-21,,,,,
22,22,PayPal,660.0600000000001,2023-01-22,100.0,Promo 100,18.0,2024-11-24,2024-12-01
23,23,PayPal,490.16,2023-01-23,,,,,
24,24,Bank Transfer,78.05,2023-01-24,29.0,Promo 29,18.0,2023-07-16,2023-07-23
25,25,Bank Transfer,314.91,2023-01-25,15.0,Promo 15,27.0,2023-04-09,2023-04-16
26,26,PayPal,122.36,2023-01-26,30.0,Promo 30,6.0,2023-07-23,2023-07-30
27,27,Bank Transfer,103.5,2023-01-27,75.0,Promo 75,29.0,2024-06-02,2024-06-09
28,28,Credit Card,790.5600000000001,2023-01-28,94.0,Promo 94,29.0,2024-10-13,2024-10-20
29,29,Credit Card,202.4,2023-01-29,50.0,Promo 50,6.0,2023-12-10,2023-12-17
30,30,PayPal,158.97,2023-01-30,87.0,Promo 87,20.0,2024-08-25,2024-09-01
31,31,Credit Card,121.74,2023-01-31,86.0,Promo 86,13.0,2024-08-18,2024-08-25
32,32,PayPal,566.32,2023-02-01,53.0,Promo 53,20.0,2023-12-31,2024-01-07
33,33,Credit Card,486.05,2023-02-02,98.0,Promo 98,15.0,2024-11-10,2024-11-17
34,34,Credit Card,43.650000000000006,2023-02-03,1.0,Promo 1,23.0,2023-01-01,2023-01-08
35,35,PayPal,47.03,2023-02-04,,,,,
36,36,Bank Transfer,453.87,2023-02-05,2.0,Promo 2,24.0,2023-01-08,2023-01-15
37,37,PayPal,151.29,2023-02-06,17.0,Promo 17,29.0,2023-04-23,2023-04-30
38,38,PayPal,151.68,2023-02-07,59.0,Promo 59,14.0,2024-02-11,2024-02-18
39,39,Bank Transfer,771.48,2023-02-08,,,,,
40,40,Credit Card,366.7000000000001,2023-02-09,36.0,Promo 36,12.0,2023-09-03,2023-09-10
41,41,PayPal,87.4,2023-02-10,,,,,
42,42,PayPal,37.5,2023-02-11,,,,,
43,43,PayPal,788.48,2023-02-12,97.0,Promo 97,20.0,2024-11-03,2024-11-10
44,44,Credit Card,244.93,2023-02-13,5.0,Promo 5,8.0,2023-01-29,2023-02-05
45,45,Credit Card,214.45,2023-02-14,96.0,Promo 96,20.0,2024-10-27,2024-11-03
46,46,Bank Transfer,94.12,2023-02-15,35.0,Promo 35,17.0,2023-08-27,2023-09-03
47,47,PayPal,480.66,2023-02-16,11.0,Promo 11,8.0,2023-03-12,2023-03-19
48,48,Bank Transfer,554.96,2023-02-17,,,,,
49,49,Bank Transfer,40.92,2023-02-18,93.0,Promo 93,12.0,2024-10-06,2024-10-13
50,50,PayPal,46.0,2023-02-19,,,,,
51,51,PayPal,229.14,2023-02-20,38.0,Promo 38,18.0,2023-09-17,2023-09-24
52,52,Bank Transfer,546.0,2023-02-21,81.0,Promo 81,11.0,2024-07-14,2024-07-21
53,53,Credit Card,233.32,2023-02-22,49.0,Promo 49,7.0,2023-12-03,2023-12-10
54,54,Bank Transfer,305.2,2023-02-23,60.0,Promo 60,20.0,2024-02-18,2024-02-25
55,55,Credit Card,664.79,2023-02-24,61.0,Promo 61,23.0,2024-02-25,2024-03-03
56,56,Credit Card,116.4,2023-02-25,62.0,Promo 62,26.0,2024-03-03,2024-03-10
57,57,Bank Transfer,116.66,2023-02-26,21.0,Promo 21,15.0,2023-05-21,2023-05-28
58,58,PayPal,162.26,2023-02-27,,,,,
59,59,Bank Transfer,55.75,2023-02-28,24.0,Promo 24,23.0,2023-06-11,2023-06-18
60,60,Bank Transfer,178.04,2023-03-01,18.0,Promo 18,26.0,2023-04-30,2023-05-07
61,61,Credit Card,502.83,2023-03-02,83.0,Promo 83,15.0,2024-07-28,2024-08-04
62,62,Bank Transfer,113.0,2023-03-03,66.0,Promo 66,22.0,2024-03-31,2024-04-07
63,63,PayPal,83.72,2023-03-04,47.0,Promo 47,15.0,2023-11-19,2023-11-26
64,64,Bank Transfer,464.5,2023-03-05,41.0,Promo 41,17.0,2023-10-08,2023-10-15
65,65,Bank Transfer,405.0,2023-03-06,,,,,
66,66,Credit Card,30.77,2023-03-07,58.0,Promo 58,11.0,2024-02-04,2024-02-11
67,67,PayPal,183.2,2023-03-08,,,,,
68,68,PayPal,83.72,2023-03-09,68.0,Promo 68,29.0,2024-04-14,2024-04-21
69,69,Credit Card,194.45,2023-03-10,91.0,Promo 91,10.0,2024-09-22,2024-09-29
70,70,PayPal,153.75,2023-03-11,19.0,Promo 19,12.0,2023-05-07,2023-05-14
71,71,PayPal,359.90000000000003,2023-03-12,63.0,Promo 63,15.0,2024-03-10,2024-03-17
72,72,Bank Transfer,74.45,2023-03-13,3.0,Promo 3,11.0,2023-01-15,2023-01-22
73,73,Credit Card,14.55,2023-03-14,71.0,Promo 71,28.0,2024-05-05,2024-05-12
74,74,PayPal,103.5,2023-03-15,80.0,Promo 80,17.0,2024-07-07,2024-07-14
75,75,Credit Card,64.95,2023-03-16,,,,,
76,76,Bank Transfer,343.0,2023-03-17,85.0,Promo 85,15.0,2024-08-11,2024-08-18
77,77,PayPal,43.36,2023-03-18,26.0,Promo 26,5.0,2023-06-25,2023-07-02
78,78,Credit Card,133.72,2023-03-19,73.0,Promo 73,8.0,2024-05-19,2024-05-26
79,79,PayPal,295.68,2023-03-20,9.0,Promo 9,22.0,2023-02-26,2023-03-05
