return_id,order_id,return_reason,return_date,sales_id,total_amount,sales_date
1,1,Wrong Item,2023-01-05,1,392.64,2023-01-01
2,2,No Longer Needed,2023-01-06,2,270.0,2023-01-02
3,3,Wrong Item,2023-01-07,3,167.61,2023-01-03
4,4,Wrong Item,2023-01-08,4,113.76,2023-01-04
5,5,No Longer Needed,2023-01-09,5,136.95,2023-01-05
6,6,Defective,2023-01-10,6,90.84,2023-01-06
7,7,No Longer Needed,2023-01-11,7,394.14,2023-01-07
8,8,No Longer Needed,2023-01-12,8,107.04,2023-01-08
9,9,Wrong Item,2023-01-13,9,54.92999999999999,2023-01-09
10,10,Wrong Item,2023-01-14,10,575.84,2023-01-10
11,11,Wrong Item,2023-01-15,11,38.52,2023-01-11
12,12,Wrong Item,2023-01-16,12,105.07,2023-01-12
13,13,No Longer Needed,2023-01-17,13,334.5,2023-01-13
14,14,Defective,2023-01-18,14,90.64,2023-01-14
15,15,Defective,2023-01-19,15,14.55,2023-01-15
16,16,Defective,2023-01-20,16,392.28,2023-01-16
17,17,Defective,2023-01-21,17,135.0,2023-01-17
18,18,Wrong Item,2023-01-22,18,440.72,2023-01-18
19,19,No Longer Needed,2023-01-23,19,418.25,2023-01-19
20,20,Wrong Item,2023-01-24,20,311.12,2023-01-20
21,21,Wrong Item,2023-01-25,21,815.76,2023-01-21
22,22,No Longer Needed,2023-01-26,22,660.0600000000001,2023-01-22
23,23,No Longer Needed,2023-01-27,23,490.16,2023-01-23
24,24,No Longer Needed,2023-01-28,24,78.05,2023-01-24
25,25,Wrong Item,2023-01-29,25,314.91,2023-01-25
26,26,Defective,2023-01-30,26,122.36,2023-01-26
27,27,Wrong Item,2023-01-31,27,103.5,2023-01-27
28,28,Wrong Item,2023-02-01,28,790.5600000000001,2023-01-28
29,29,No Longer Needed,2023-02-02,29,202.4,2023-01-29
30,30,Wrong Item,2023-02-03,30,158.97,2023-01-30
31,31,Defective,2023-02-04,31,121.74,2023-01-31
32,32,Defective,2023-02-05,32,566.32,2023-02-01
33,33,Wrong Item,2023-02-06,33,486.05,2023-02-02
34,34,No Longer Needed,2023-02-07,34,43.650000000000006,2023-02-03
35,35,Wrong Item,2023-02-08,35,47.03,2023-02-04
36,36,Defective,2023-02-09,36,453.87,2023-02-05
37,37,Defective,2023-02-10,37,151.29,2023-02-06
38,38,Wrong Item,2023-02-11,38,151.68,2023-02-07
39,39,Defective,2023-02-12,39,771.48,2023-02-08
40,40,Wrong Item,2023-02-13,40,366.7000000000001,2023-02-09
41,41,Defective,2023-02-14,41,87.4,2023-02-10
42,42,No Longer Needed,2023-02-15,42,37.5,2023-02-11
43,43,Defective,2023-02-16,43,788.48,2023-02-12
44,44,Wrong Item,2023-02-17,44,244.93,2023-02-13
45,45,Wrong Item,2023-02-18,45,214.45,2023-02-14
46,46,No Longer Needed,2023-02-19,46,94.12,2023-02-15
47,47,Defective,2023-02-20,47,480.66,2023-02-16
48,48,Wrong Item,2023-02-21,48,554.96,2023-02-17
49,49,Defective,2023-02-22,49,40.92,2023-02-18
50,50,No Longer Needed,2023-02-23,50,46.0,2023-02-19
51,51,Wrong Item,2023-02-24,51,229.14,2023-02-20
52,52,No Longer Needed,2023-02-25,52,546.0,2023-02-21
53,53,Wrong Item,2023-02-26,53,233.32,2023-02-22
54,54,Defective,2023-02-27,54,305.2,2023-02-23
55,55,Wrong Item,2023-02-28,55,664.79,2023-02-24
56,56,No Longer Needed,2023-03-01,56,116.4,2023-02-25
57,57,Wrong Item,2023-03-02,57,116.66,2023-02-26
58,58,No Longer Needed,2023-03-03,58,162.26,2023-02-27
59,59,Wrong Item,2023-03-04,59,55.75,2023-02-28
60,60,No Longer Needed,2023-03-05,60,178.04,2023-03-01
61,61,Defective,2023-03-06,61,502.83,2023-03-02
62,62,Wrong Item,2023-03-07,62,113.0,2023-03-03
63,63,Defective,2023-03-08,63,83.72,2023-03-04
64,64,Wrong Item,2023-03-09,64,464.5,2023-03-05
65,65,Wrong Item,2023-03-10,65,405.0,2023-03-06
66,66,Defective,2023-03-11,66,30.77,2023-03-07
67,67,No Longer Needed,2023-03-12,67,183.2,2023-03-08
68,68,Defective,2023-03-13,68,83.72,2023-03-09
69,69,Defective,2023-03-14,69,194.45,2023-03-10
70,70,Wrong Item,2023-03-15,70,153.75,2023-03-11
71,71,No Longer Needed,2023-03-16,71,359.90000000000003,2023-03-12
72,72,No Longer Needed,2023-03-17,72,74.45,2023-03-13
73,73,Defective,2023-03-18,73,14.55,2023-03-14
74,74,Defective,2023-03-19,74,103.5,2023-03-15
75,75,No Longer Needed,2023-03-20,75,64.95,2023-03-16
76,76,Defective,2023-03-21,76,343.0,2023-03-17
77,77,Wrong Item,2023-03-22,77,43.36,2023-03-18
78,78,Wrong Item,2023-03-23,78,133.72,2023-03-19
79,79,Defective,2023-03-24,79,295.68,2023-03-20
80,80,Wrong Item,2023-03-25,80,25.98,2023-03-21
81,81,No Longer Needed,2023-03-26,81,263.58,2023-03-22
82,82,Defective,2023-03-27,82,89.02,2023-03-23
83,83,Wrong Item,2023-03-28,83,223.0,2023-03-24
84,84,Defective,2023-03-29,84,261.55,2023-03-25
85,85,No Longer Needed,2023-03-30,85,119.32,2023-03-26
