order_id,product_id,quantity,order_date,customer_id,status,payment_id,payment_method,amount,payment_date
1,6,4,2023-01-01,6,Shipped,1,Bank Transfer,392.64,2023-01-01
2,37,4,2023-01-02,9,Shipped,2,Credit Card,270.0,2023-01-02
3,1,3,2023-01-03,12,Cancelled,3,Credit Card,167.61,2023-01-03
4,76,6,2023-01-04,15,Cancelled,4,Bank Transfer,113.76,2023-01-04
5,35,3,2023-01-05,1,Delivered,5,Bank Transfer,136.95,2023-01-05
6,70,4,2023-01-06,9,Cancelled,6,Credit Card,90.84,2023-01-06
7,54,6,2023-01-07,20,Delivered,7,Credit Card,394.14,2023-01-07
8,81,8,2023-01-08,7,Delivered,8,Bank Transfer,107.04,2023-01-08
9,63,3,2023-01-09,11,Shipped,9,Bank Transfer,54.92999999999999,2023-01-09
10,9,8,2023-01-10,20,Cancelled,10,Bank Transfer,575.84,2023-01-10
11,62,2,2023-01-11,3,Shipped,11,Credit Card,38.52,2023-01-11
12,2,7,2023-01-12,1,Cancelled,12,PayPal,105.07,2023-01-12
13,82,6,2023-01-13,20,Shipped,13,Bank Transfer,334.5,2023-01-13
14,36,1,2023-01-14,15,Delivered,14,PayPal,90.64,2023-01-14
15,92,1,2023-01-15,1,Delivered,15,PayPal,14.55,2023-01-15
16,41,4,2023-01-16,20,Shipped,16,Credit Card,392.28,2023-01-16
17,37,2,2023-01-17,7,Delivered,17,Credit Card,135.0,2023-01-17
18,49,7,2023-01-18,2,Pending,18,PayPal,440.72,2023-01-18
19,26,7,2023-01-19,13,Shipped,19,Credit Card,418.25,2023-01-19
20,68,8,2023-01-20,19,Shipped,20,Bank Transfer,311.12,2023-01-20
21,36,9,2023-01-21,14,Cancelled,21,Bank Transfer,815.76,2023-01-21
22,31,9,2023-01-22,10,Delivered,22,PayPal,660.0600000000001,2023-01-22
23,30,8,2023-01-23,5,Pending,23,PayPal,490.16,2023-01-23
24,34,1,2023-01-24,18,Cancelled,24,Bank Transfer,78.05,2023-01-24
25,19,9,2023-01-25,4,Shipped,25,Bank Transfer,314.91,2023-01-25
26,18,7,2023-01-26,3,Pending,26,PayPal,122.36,2023-01-26
27,94,9,2023-01-27,14,Pending,27,Bank Transfer,103.5,2023-01-27
28,85,9,2023-01-28,16,Delivered,28,Credit Card,790.5600000000001,2023-01-28
29,3,4,2023-01-29,5,Shipped,29,Credit Card,202.4,2023-01-29
30,70,7,2023-01-30,10,Cancelled,30,PayPal,158.97,2023-01-30
31,13,2,2023-01-31,5,Pending,31,Credit Card,121.74,2023-01-31
32,45,8,2023-02-01,18,Shipped,32,PayPal,566.32,2023-02-01
33,67,5,2023-02-02,19,Delivered,33,Credit Card,486.05,2023-02-02
34,92,3,2023-02-03,14,Shipped,34,Credit Card,43.650000000000006,2023-02-03
35,86,1,2023-02-04,14,Delivered,35,PayPal,47.03,2023-02-04
36,40,9,2023-02-05,3,Shipped,36,Bank Transfer,453.87,2023-02-05
37,40,3,2023-02-06,4,Cancelled,37,PayPal,151.29,2023-02-06
38,76,8,2023-02-07,10,Shipped,38,PayPal,151.68,2023-02-07
39,23,9,2023-02-08,13,Cancelled,39,Bank Transfer,771.48,2023-02-08
40,31,5,2023-02-09,16,Delivered,40,Credit Card,366.7000000000001,2023-02-09
41,18,5,2023-02-10,3,Pending,41,PayPal,87.4,2023-02-10
42,71,2,2023-02-11,20,Pending,42,PayPal,37.5,2023-02-11
43,72,8,2023-02-12,7,Cancelled,43,PayPal,788.48,2023-02-12
44,19,7,2023-02-13,15,Shipped,44,Credit Card,244.93,2023-02-13
45,93,5,2023-02-14,17,Shipped,45,Credit Card,214.45,2023-02-14
46,44,2,2023-02-15,16,Shipped,46,Bank Transfer,94.12,2023-02-15
47,84,6,2023-02-16,9,Pending,47,PayPal,480.66,2023-02-16
48,50,8,2023-02-17,1,Delivered,48,Bank Transfer,554.96,2023-02-17
49,42,2,2023-02-18,11,Delivered,49,Bank Transfer,40.92,2023-02-18
50,94,4,2023-02-19,12,Delivered,50,PayPal,46.0,2023-02-19
51,47,6,2023-02-20,14,Pending,51,PayPal,229.14,2023-02-20
52,22,8,2023-02-21,8,Delivered,52,Bank Transfer,546.0,2023-02-21
53,74,4,2023-02-22,7,Cancelled,53,Credit Card,233.32,2023-02-22
54,90,7,2023-02-23,14,Cancelled,54,Bank Transfer,305.2,2023-02-23
55,97,7,2023-02-24,16,Pending,55,Credit Card,664.79,2023-02-24
56,92,8,2023-02-25,10,Shipped,56,Credit Card,116.4,2023-02-25
57,74,2,2023-02-26,7,Delivered,57,Bank Transfer,116.66,2023-02-26
58,29,7,2023-02-27,12,Delivered,58,PayPal,162.26,2023-02-27
59,82,1,2023-02-28,19,Cancelled,59,Bank Transfer,55.75,2023-02-28
60,59,4,2023-03-01,8,Pending,60,Bank Transfer,178.04,2023-03-01
61,1,9,2023-03-02,2,Shipped,61,Credit Card,502.83,2023-03-02
62,87,5,2023-03-03,10,Delivered,62,Bank Transfer,113.0,2023-03-03
63,64,2,2023-03-04,3,Pending,63,PayPal,83.72,2023-03-04
64,17,5,2023-03-05,19,Pending,64,Bank Transfer,464.5,2023-03-05
65,37,6,2023-03-06,15,Delivered,65,Bank Transfer,405.0,2023-03-06
66,95,1,2023-03-07,6,Shipped,66,Credit Card,30.77,2023-03-07
67,25,4,2023-03-08,5,Delivered,67,PayPal,183.2,2023-03-08
68,64,2,2023-03-09,19,Pending,68,PayPal,83.72,2023-03-09
69,68,5,2023-03-10,15,Cancelled,69,Credit Card,194.45,2023-03-10
70,52,5,2023-03-11,19,Cancelled,70,PayPal,153.75,2023-03-11
71,9,5,2023-03-12,2,Pending,71,PayPal,359.90000000000003,2023-03-12
72,57,1,2023-03-13,13,Pending,72,Bank Transfer,74.45,2023-03-13
73,92,1,2023-03-14,1,Shipped,73,Credit Card,14.55,2023-03-14
74,94,9,2023-03-15,10,Pending,74,PayPal,103.5,2023-03-15
75,88,5,2023-03-16,17,Shipped,75,Credit Card,64.95,2023-03-16
76,33,7,2023-03-17,3,Pending,76,Bank Transfer,343.0,2023-03-17
77,20,4,2023-03-18,9,Shipped,77,PayPal,43.36,2023-03-18
78,73,4,2023-03-19,20,Delivered,78,Credit Card,133.72,2023-03-19
79,72,3,2023-03-20,11,Cancelled,79,PayPal,295.68,2023-03-20
80,88,2,2023-03-21,17,Shipped,80,Credit Card,25.98,2023-03-21
81,14,3,2023-03-22,2,Cancelled,81,Bank Transfer,263.58,2023-03-22
82,59,2,2023-03-23,1,Delivered,82,Bank Transfer,89.02,2023-03-23
83,82,4,2023-03-24,6,Shipped,83,PayPal,223.0,2023-03-24
84,56,5,2023-03-25,3,Delivered,84,PayPal,261.55,2023-03-25
85,65,2,2023-03-26,16,Shipped,85,Credit Card,119.32,2023-03-26
86,76,2,2023-03-27,4,Cancelled,86,PayPal,37.92,2023-03-27
87,93,1,2023-03-28,15,Delivered,87,Bank Transfer,42.89,2023-03-28
88,37,8,2023-03-29,6,Pending,88,Bank Transfer,540.0,2023-03-29
89,26,9,2023-03-30,12,Delivered,89,Bank Transfer,537.75,2023-03-30
90,33,5,2023-03-31,20,Shipped,90,PayPal,245.0,2023-03-31
91,43,4,2023-04-01,7,Cancelled,91,Credit Card,316.12,2023-04-01
92,15,6,2023-04-02,7,Pending,92,Bank Transfer,334.86,2023-04-02
93,87,7,2023-04-03,20,Pending,93,Bank Transfer,158.20000000000002,2023-04-03
94,29,4,2023-04-04,7,Delivered,94,PayPal,92.72,2023-04-04
95,21,3,2023-04-05,3,Delivered,95,PayPal,257.43,2023-04-05
96,83,9,2023-04-06,7,Pending,96,PayPal,225.18,2023-04-06
97,69,2,2023-04-07,6,Delivered,97,PayPal,59.82,2023-04-07
98,23,5,2023-04-08,6,Cancelled,98,Credit Card,428.6,2023-04-08
99,100,1,2023-04-09,14,Pending,99,PayPal,54.06,2023-04-09
100,84,9,2023-04-10,10,Pending,100,Credit Card,720.99,2023-04-10
101,8,4,2023-04-11,5,Delivered,101,Credit Card,213.12,2023-04-11
102,73,6,2023-04-12,14,Delivered,102,Bank Transfer,200.58,2023-04-12
103,62,6,2023-04-13,18,Shipped,103,Bank Transfer,115.56,2023-04-13
104,14,2,2023-04-14,4,Delivered,104,PayPal,175.72,2023-04-14
105,6,8,2023-04-15,14,Pending,105,Bank Transfer,785.28,2023-04-15
106,1,9,2023-04-16,20,Pending,106,Credit Card,502.83,2023-04-16
107,9,7,2023-04-17,9,Shipped,107,PayPal,503.86,2023-04-17
108,80,5,2023-04-18,14,Shipped,108,PayPal,457.1,2023-04-18
109,80,8,2023-04-19,6,Pending,109,PayPal,731.36,2023-04-19
