return_id,order_id,return_reason,return_date,shipping_id,shipping_date,shipping_method,tracking_number
1,1,Wrong Item,2023-01-05,1,2023-01-02,Standard,TRACK-1
2,2,No Longer Needed,2023-01-06,2,2023-01-03,Express,TRACK-2
3,3,Wrong Item,2023-01-07,3,2023-01-04,Express,TRACK-3
4,4,Wrong Item,2023-01-08,4,2023-01-05,Express,TRACK-4
5,5,No Longer Needed,2023-01-09,5,2023-01-06,Express,TRACK-5
6,6,Defective,2023-01-10,6,2023-01-07,Express,TRACK-6
7,7,No Longer Needed,2023-01-11,7,2023-01-08,Express,TRACK-7
8,8,No Longer Needed,2023-01-12,8,2023-01-09,Express,TRACK-8
9,9,Wrong Item,2023-01-13,9,2023-01-10,Express,TRACK-9
10,10,Wrong Item,2023-01-14,10,2023-01-11,Standard,TRACK-10
11,11,Wrong Item,2023-01-15,11,2023-01-12,Standard,TRACK-11
12,12,Wrong Item,2023-01-16,12,2023-01-13,Standard,TRACK-12
13,13,No Longer Needed,2023-01-17,13,2023-01-14,Standard,TRACK-13
14,14,Defective,2023-01-18,14,2023-01-15,Standard,TRACK-14
15,15,Defective,2023-01-19,15,2023-01-16,Standard,TRACK-15
16,16,Defective,2023-01-20,16,2023-01-17,Standard,TRACK-16
17,17,Defective,2023-01-21,17,2023-01-18,Express,TRACK-17
18,18,Wrong Item,2023-01-22,18,2023-01-19,Standard,TRACK-18
19,19,No Longer Needed,2023-01-23,19,2023-01-20,Express,TRACK-19
20,20,Wrong Item,2023-01-24,20,2023-01-21,Standard,TRACK-20
21,21,Wrong Item,2023-01-25,21,2023-01-22,Express,TRACK-21
22,22,No Longer Needed,2023-01-26,22,2023-01-23,Standard,TRACK-22
23,23,No Longer Needed,2023-01-27,23,2023-01-24,Express,TRACK-23
24,24,No Longer Needed,2023-01-28,24,2023-01-25,Express,TRACK-24
25,25,Wrong Item,2023-01-29,25,2023-01-26,Standard,TRACK-25
26,26,Defective,2023-01-30,26,2023-01-27,Express,TRACK-26
27,27,Wrong Item,2023-01-31,27,2023-01-28,Express,TRACK-27
28,28,Wrong Item,2023-02-01,28,2023-01-29,Standard,TRACK-28
29,29,No Longer Needed,2023-02-02,29,2023-01-30,Express,TRACK-29
30,30,Wrong Item,2023-02-03,30,2023-01-31,Standard,TRACK-30
31,31,Defective,2023-02-04,31,2023-02-01,Standard,TRACK-31
32,32,Defective,2023-02-05,32,2023-02-02,Standard,TRACK-32
33,33,Wrong Item,2023-02-06,33,2023-02-03,Express,TRACK-33
34,34,No Longer Needed,2023-02-07,34,2023-02-04,Express,TRACK-34
35,35,Wrong Item,2023-02-08,35,2023-02-05,Standard,TRACK-35
36,36,Defective,2023-02-09,36,2023-02-06,Standard,TRACK-36
37,37,Defective,2023-02-10,37,2023-02-07,Express,TRACK-37
38,38,Wrong Item,2023-02-11,38,2023-02-08,Standard,TRACK-38
39,39,Defective,2023-02-12,39,2023-02-09,Standard,TRACK-39
40,40,Wrong Item,2023-02-13,40,2023-02-10,Express,TRACK-40
41,41,Defective,2023-02-14,41,2023-02-11,Standard,TRACK-41
42,42,No Longer Needed,2023-02-15,42,2023-02-12,Express,TRACK-42
43,43,Defective,2023-02-16,43,2023-02-13,Express,TRACK-43
44,44,Wrong Item,2023-02-17,44,2023-02-14,Standard,TRACK-44
45,45,Wrong Item,2023-02-18,45,2023-02-15,Standard,TRACK-45
46,46,No Longer Needed,2023-02-19,46,2023-02-16,Express,TRACK-46
47,47,Defective,2023-02-20,47,2023-02-17,Express,TRACK-47
48,48,Wrong Item,2023-02-21,48,2023-02-18,Express,TRACK-48
49,49,Defective,2023-02-22,49,2023-02-19,Standard,TRACK-49
50,50,No Longer Needed,2023-02-23,50,2023-02-20,Standard,TRACK-50
51,51,Wrong Item,2023-02-24,51,2023-02-21,Express,TRACK-51
52,52,No Longer Needed,2023-02-25,52,2023-02-22,Standard,TRACK-52
53,53,Wrong Item,2023-02-26,53,2023-02-23,Standard,TRACK-53
54,54,Defective,2023-02-27,54,2023-02-24,Express,TRACK-54
55,55,Wrong Item,2023-02-28,55,2023-02-25,Express,TRACK-55
56,56,No Longer Needed,2023-03-01,56,2023-02-26,Standard,TRACK-56
57,57,Wrong Item,2023-03-02,57,2023-02-27,Standard,TRACK-57
58,58,No Longer Needed,2023-03-03,58,2023-02-28,Standard,TRACK-58
59,59,Wrong Item,2023-03-04,59,2023-03-01,Standard,TRACK-59
60,60,No Longer Needed,2023-03-05,60,2023-03-02,Express,TRACK-60
61,61,Defective,2023-03-06,61,2023-03-03,Express,TRACK-61
62,62,Wrong Item,2023-03-07,62,2023-03-04,Express,TRACK-62
63,63,Defective,2023-03-08,63,2023-03-05,Express,TRACK-63
64,64,Wrong Item,2023-03-09,64,2023-03-06,Standard,TRACK-64
65,65,Wrong Item,2023-03-10,65,2023-03-07,Standard,TRACK-65
66,66,Defective,2023-03-11,66,2023-03-08,Express,TRACK-66
67,67,No Longer Needed,2023-03-12,67,2023-03-09,Standard,TRACK-67
68,68,Defective,2023-03-13,68,2023-03-10,Standard,TRACK-68
69,69,Defective,2023-03-14,69,2023-03-11,Express,TRACK-69
70,70,Wrong Item,2023-03-15,70,2023-03-12,Standard,TRACK-70
71,71,No Longer Needed,2023-03-16,71,2023-03-13,Standard,TRACK-71
72,72,No Longer Needed,2023-03-17,72,2023-03-14,Standard,TRACK-72
73,73,Defective,2023-03-18,73,2023-03-15,Express,TRACK-73
74,74,Defective,2023-03-19,74,2023-03-16,Standard,TRACK-74
75,75,No Longer Needed,2023-03-20,75,2023-03-17,Express,TRACK-75
76,76,Defective,2023-03-21,76,2023-03-18,Express,TRACK-76
77,77,Wrong Item,2023-03-22,77,2023-03-19,Standard,TRACK-77
78,78,Wrong Item,2023-03-23,78,2023-03-20,Express,TRACK-78
79,79,Defective,2023-03-24,79,2023-03-21,Express,TRACK-79
80,80,Wrong Item,2023-03-25,80,2023-03-22,Standard,TRACK-80
