payment_id,order_id,payment_method,amount,payment_date,promotion_id,promotion_name,discount_percentage,start_date,end_date,sales_id,total_amount,sales_date
1.0,1,Bank Transfer,392.64,2023-01-01,37.0,Promo 37,26.0,2023-09-10,2023-09-17,1,392.64,2023-01-01
2.0,2,Credit Card,270.0,2023-01-02,16.0,Promo 16,9.0,2023-04-16,2023-04-23,2,270.0,2023-01-02
3.0,3,Credit Card,167.61,2023-01-03,13.0,Promo 13,26.0,2023-03-26,2023-04-02,3,167.61,2023-01-03
4.0,4,Bank Transfer,113.76,2023-01-04,89.0,Promo 89,24.0,2024-09-08,2024-09-15,4,113.76,2023-01-04
5.0,5,Bank Transfer,136.95,2023-01-05,67.0,Promo 67,8.0,2024-04-07,2024-04-14,5,136.95,2023-01-05
6.0,6,Credit Card,90.84,2023-01-06,28.0,Promo 28,7.0,2023-07-09,2023-07-16,6,90.84,2023-01-06
,7,,,,,,,,,7,394.14,2023-01-07
8.0,8,Bank Transfer,107.04,2023-01-08,82.0,Promo 82,15.0,2024-07-21,2024-07-28,8,107.04,2023-01-08
9.0,9,Bank Transfer,54.92999999999999,2023-01-09,52.0,Promo 52,24.0,2023-12-24,2023-12-31,9,54.92999999999999,2023-01-09
10.0,10,Bank Transfer,575.84,2023-01-10,25.0,Promo 25,21.0,2023-06-18,2023-06-25,10,575.84,2023-01-10
11.0,11,Credit Card,38.52,2023-01-11,92.0,Promo 92,8.0,2024-09-29,2024-10-06,11,38.52,2023-01-11
12.0,12,PayPal,105.07,2023-01-12,39.0,Promo 39,22.0,2023-09-24,2023-10-01,12,105.07,2023-01-12
13.0,13,Bank Transfer,334.5,2023-01-13,42.0,Promo 42,22.0,2023-10-15,2023-10-22,13,334.5,2023-01-13
14.0,14,PayPal,90.64,2023-01-14,34.0,Promo 34,25.0,2023-08-20,2023-08-27,14,90.64,2023-01-14
15.0,15,PayPal,14.55,2023-01-15,55.0,Promo 55,9.0,2024-01-14,2024-01-21,15,14.55,2023-01-15
16.0,16,Credit Card,392.28,2023-01-16,74.0,Promo 74,18.0,2024-05-26,2024-06-02,16,392.28,2023-01-16
17.0,17,Credit Card,135.0,2023-01-17,45.0,Promo 45,9.0,2023-11-05,2023-11-12,17,135.0,2023-01-17
,18,,,,,,,,,18,440.72,2023-01-18
19.0,19,Credit Card,418.25,2023-01-19,22.0,Promo 22,22.0,2023-05-28,2023-06-04,19,418.25,2023-01-19
20.0,20,Bank Transfer,311.12,2023-01-20,14.0,Promo 14,24.0,2023-04-02,2023-04-09,20,311.12,2023-01-20
,21,,,,,,,,,21,815.76,2023-01-21
22.0,22,PayPal,660.0600000000001,2023-01-22,100.0,Promo 100,18.0,2024-11-24,2024-12-01,22,660.0600000000001,2023-01-22
