Date,Product_Name,Supplier_ID,Order_Quantity,Demand_Quantity,Raw_Material_ID,Raw_Material_Quantity,Lead_Time,Production_Schedule,Production_Capacity,Machine_ID,Defective_Units,Production_Costs,Labor_Hours,Inventory_Levels,Order_Status,Transportation_Costs,Supplier_Rating,Transportation_Mode,Stockout_Risk,Product_Price,Location
2023-01-01,Kecap ABC,SUP_36,1518,222,RM_19,421,2,2023-01-10,1825,MAC_9,38,7226.95,45,3743,Completed,1186.12,1,Road,0.43,572.73,"South Zoe, Indonesia"
2023-01-02,SilverQueen,SUP_32,312,1621,RM_23,2801,2,2023-01-11,532,MAC_3,6,7815.64,70,2709,Completed,3724.81,3,Road,0.57,736.89,"Woodfort, Indonesia"
2023-01-03,Tolak Angin,SUP_2,1990,1238,RM_12,2285,10,2023-01-12,2130,MAC_6,6,567.71,84,1972,Completed,4258.38,3,Air,0.5,902.87,"Lake Christiantown, Indonesia"
2023-01-04,Aqua,SUP_4,570,2008,RM_23,1227,17,2023-01-13,3343,MAC_3,27,7661.32,26,2154,Pending,556.19,5,Rail,0.73,821.15,"North Jessica, Indonesia"
2023-01-05,Tolak Angin,SUP_1,320,1480,RM_15,2467,26,2023-01-14,2897,MAC_5,34,4985.87,98,2073,Pending,842.7,5,Air,0.87,542.09,"Laurenmouth, Indonesia"
2023-01-06,Beng Beng,SUP_47,882,1517,RM_26,888,18,2023-01-15,4192,MAC_13,9,4801.51,10,4008,Completed,2425.3,1,Sea,0.29,991.26,"Medinachester, Indonesia"
2023-01-07,Kecap ABC,SUP_31,1844,2039,RM_6,2924,2,2023-01-16,3238,MAC_4,37,5630.66,21,2686,Completed,2992.08,5,Sea,0.18,534.44,"South Karenport, Indonesia"
2023-01-08,Kopiko,SUP_10,1275,853,RM_20,748,6,2023-01-17,2967,MAC_6,31,3076.5,12,268,Completed,507.99,2,Air,0.98,540.61,"Lake Mark, Indonesia"
2023-01-09,Beng Beng,SUP_17,134,363,RM_13,501,17,2023-01-18,992,MAC_19,33,7114.74,82,2378,Completed,1937.56,2,Air,0.87,166.9,"Charlesside, Indonesia"
2023-01-10,Kecap ABC,SUP_46,160,2141,RM_10,1243,6,2023-01-19,1232,MAC_2,23,3308.09,92,4204,In-Transit,4498.25,5,Air,0.36,157.23,"West Teresafurt, Indonesia"
